date,author,start_price,end_price,year,tech,decade,dimension,technique,category
2001.0,Endel Kõks,1853.44,3834.7,1943.0,"õli, lõuend",1940.0,3215.5,Oil on canvas,Oil paint
2001.0,Eduard Kutsar,1406.06,1821.48,1933.0,"õli, lõuend",1930.0,4361.0,Oil on canvas,Oil paint
2001.0,Hugo Lepik,1278.23,1278.23,1943.0,"õli, vineer",1940.0,8216.0,Oil on wood,Oil paint
2001.0,Konrad Mägi,5368.58,8819.81,1918.0,"õli, lõuend",1910.0,1750.0,Oil on canvas,Oil paint
2001.0,Gustav Raud,1214.32,1214.32,1940.0,"õli, vineer",1940.0,4620.0,Oil on wood,Oil paint
2001.0,Eduard Rüga,894.76,1022.59,1955.0,"värviline linool, paber",1950.0,1440.0,Linoleum,Graphics
2001.0,Lembit Saarts,1022.59,1438.01,1948.0,"õli, papp",1940.0,935.0,Oil on cardboard,Oil paint
2001.0,Richard Sagrits,1469.97,1469.97,1968.0,"õli, vineer",1960.0,3496.0,Oil on wood,Oil paint
2001.0,Herman Talvik,894.76,926.72,1940.0,"segatehnika, paber",1940.0,1610.0,Mixed tech,Other
2001.0,Kristjan Teder,1150.41,1150.41,1944.0,"õli, lõuend",1940.0,5980.0,Oil on canvas,Oil paint
2001.0,Vardi,5432.49,11568.01,1937.0,"õli, lõuend",1930.0,18975.0,Oil on canvas,Oil paint
